X77A_2.18_total	X77B_2.18_total	X77C_2.18_total	X77A_3.12_total	X77B_3.12_total	X77C_3.12_total	X77A_4.2_total	X77B_4.2_total	X77C_4.2_total	X50A_2.12_total	X50B_2.12_total	X50C_2.12_total	X50A_3.6_total	X50B_3.6_total	X50C_3.6_total	X50A_3.27_total	X50B_3.27_total	X50C_3.27_total	X50A_2.12_VLP	X50B_2.12_VLP	X50C_2.12_VLP	X50A_2.13_VLP	X50B_2.13_VLP	X50C_2.13_VLP	X50A_3.6_VLP	X50B_3.6_VLP	X50C_3.6_VLP	X50A_3.27_VLP	X50B_3.27_VLP	X50C_3.27_VLP	X77A_2.18_VLP	X77B_2.18_VLP	X77C_2.18_VLP	X77A_2.19_VLP	X77B_2.19_VLP	X77C_2.19_VLP	X77A_3.12_VLP	X77B_3.12_VLP	X77C_3.12_VLP	X77A_4.2_VLP	X77B_4.2_VLP	X77C_4.2_VLP	X50A_2.12_IND	X50B_2.12_IND	X50C_2.12_IND	X50A_2.13_IND	X50B_2.13_IND	X50C_2.13_IND	X50A_3.6_IND	X50B_3.6_IND	X50C_3.6_IND	X50A_3.27_IND	X50B_3.27_IND	X77A_2.18_IND	X77B_2.18_IND	X77C_2.18_IND	X77A_2.19_IND	X77B_2.29_IND	X77C_2.19_IND	X77A_3.12_IND	X77B_3.12_IND	X77C_3.12_IND	X77A_4.2_IND	X77B_4.2_IND	X77C_4.2_IND
11070_5415_VLP	8.96409119399886e-05	0.00013068790227862	0.000166196787863543	7.0868490877788e-05	6.737355344446e-05	2.45484779206997e-05	4.37159508575692e-05	0.000110948323684622	0.000101965129398166	2.8199149095606e-05	8.66546326686734e-05	5.87312674407572e-05	0.00015736525599955	2.89933605204408e-05	0.000161980465392342	3.03526306133954e-05	4.17645126935643e-05	3.11671094254407e-05	0	0	0	0	0	0	0	1.57665499504011e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.41079323452614e-07	0	3.01066437535037e-07	0	0	6.39110082393381e-05	0.000196615831445425	0	0	2.32193312542357e-06	0	0	0	0	0	0	0	9.2140736950531e-06	0	0	0	2.34264926859143e-05	8.31178330349749e-06	7.40986821549379e-06
11392_11391_IND	7.06105166097893e-06	1.1966603100211e-05	1.21451498823359e-05	6.44259007979891e-06	5.52808643646851e-06	2.18631168316009e-06	9.50346757773243e-07	1.2801729655918e-05	9.57073416733692e-06	1.57757477457935e-06	2.46177933717822e-06	1.714781531117e-06	4.24165110510917e-06	5.71297744245139e-07	3.94113054482583e-06	1.7854488596115e-06	0	1.85820164596123e-06	0	0	0	0	0.000125046120608297	0	0	0	0	0	4.70072703794732e-07	0	0	0	3.31832974242651e-05	0	0	0	0	1.71893297235741e-05	1.42078754253483e-06	1.07686558886779e-06	0	8.41079323452614e-07	2.27067270097937e-05	1.20426575014015e-05	2.63673757369227e-05	0.000921924968888297	0.00167780790999488	0.000285150445605061	3.52055033242797e-07	0	0.000111452790020331	0	3.12767685155537e-06	0.000662593606270165	0.000490887539108577	0.000256776809103725	0.00602295390864932	0.000610811250644173	9.24379651342424e-05	1.82473926756791e-05	4.70015737693617e-06	0	0.00740444500965506	0.00361043087245672	0.00680719893396696
11495_11494_IND	6.88883088875993e-07	1.46958283686801e-06	6.39218414859783e-06	1.48675155687667e-06	1.03651620683785e-06	5.2281366336437e-07	4.75173378886621e-06	0	2.57673612197533e-06	7.88787387289677e-07	9.84711734871289e-07	2.00057845296983e-06	2.96915577357642e-06	0	2.3646783268955e-06	0	2.53118258748874e-06	1.26695566770084e-06	1.54462498822223e-06	0	0	0	0	0.000168361289017908	0	0	0	0	0	0	1.17017093857071e-05	4.41629546783198e-06	5.92558882576162e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.88757375946222e-06	0	0	0	0	0	0	0	0	0	0
11500_11499_IND	1.03332463331399e-06	1.46958283686801e-06	1.27843682971957e-06	1.9823354091689e-06	0	5.2281366336437e-07	0	1.42241440621311e-06	3.68105160282189e-07	1.18318108093452e-06	2.46177933717822e-06	1.85767999204341e-06	2.5449906630655e-06	8.56946616367709e-07	4.72935665379099e-06	0	0	8.4463711180056e-07	0	0	9.68903056404691e-07	0	0	4.76944161523817e-07	0	0	0	0	4.70072703794732e-07	0	0	0	1.30362954166756e-05	0	0	0	0	0	0	0	0	0	0	4.30525005675102e-05	8.18297867697601e-06	0.0025150531020947	0.00187932910714594	0.000184223540574596	3.52055033242797e-07	0	2.90241640677946e-06	0	0	0.000171617713335741	0.000116224843818354	2.46900777984351e-05	0.00154779821116128	0.000124766063630692	1.93198319412404e-05	9.12369633783953e-06	6.26687650258156e-06	0	0.00153108862911511	0.000787541468006388	0.00177836837171851
11573_11572_IND	1.06776878775779e-05	1.3436185937079e-05	1.72588972012141e-05	1.38763478641823e-05	3.8005594250721e-06	3.89733821780712e-06	3.80138703109297e-06	1.70689728745573e-05	1.32517857701588e-05	2.36636216186903e-06	5.90827040922773e-06	4.14405536686608e-06	4.66581621562009e-06	1.14259548849028e-06	9.45871330758199e-06	8.92724429805748e-07	0	2.36498391304157e-06	0	0	0	0	0	9.53888323047635e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07686558886779e-06	0	8.41079323452614e-07	0	3.91386368795548e-06	6.06146568664889e-06	0.000394364505105192	0.000557350053834948	0.000103482016550224	7.04110066485593e-07	0	2.35095728949137e-05	4.56623089603149e-07	7.81919212888844e-07	0.000502354893492555	0.000310053232422256	2.46900777984351e-05	0.00124496812636885	0.000309202853345629	7.4604274111559e-05	3.64947853513581e-06	3.13343825129078e-06	0	0.0029333315484577	0.00161508339316086	0.00200436935229107
11577_11576_IND	1.36054410053009e-05	1.67952324213487e-05	1.59804603714946e-05	1.23895963073056e-05	7.6011188501442e-06	3.70722415840189e-06	3.80138703109297e-06	1.84913872807704e-05	1.65647322126985e-05	1.57757477457935e-06	3.44649107204951e-06	1.57188307019058e-06	6.78664176817468e-06	5.71297744245139e-07	4.72935665379099e-06	1.7854488596115e-06	0	2.02712906832134e-06	0	0	0	0	0	0	2.50126157380629e-06	7.22633539393382e-05	0	0	4.70072703794732e-07	0	0	0	3.55535329545697e-05	0	0	0	0	4.29733243089352e-05	2.84157508506965e-06	2.15373117773559e-06	1.24374319439271e-06	1.68215864690523e-06	0	4.21493012549051e-06	8.7891252456409e-06	0.000671203164318108	0.00178490203190944	0.000621658632757271	7.04110066485593e-07	0	0.000769140347796558	0	1.95479803222211e-05	0.000433894349151015	0.00429165650000072	0.000775268442870864	0.00409279447931579	0.00478776207654127	4.16119457195946e-05	3.64947853513581e-05	3.6034539889844e-05	2.93695675478026e-06	0.0155652310688839	0.00833879659923386	0.0150494423456679
1168485_95035_IND	6.88883088875993e-07	8.39761621067436e-07	8.30983939317717e-06	4.95583852292224e-07	3.45505402279282e-07	1.42585544553919e-07	0	0	3.68105160282189e-07	0	0	0	8.48330221021835e-07	0	1.57645221793033e-06	0	0	3.37854844720224e-07	4.37643746662966e-06	0	0	0	0	0.000124482426157716	0	0	0	0	0	0	1.28718803242778e-05	7.72851706870596e-06	5.92558882576162e-06	0	0	0	0	0	0	0	0	0	7.09585219056053e-07	0	0	0	0	0	0	0	0	0	0	0	7.21893439865555e-07	0	0	0	0	0	0	0	0	0	0
11895_11894_IND	9.9888047887019e-06	1.81598450555833e-05	3.19609207429891e-05	1.23895963073056e-05	1.29564525854731e-05	1.00760451484769e-05	8.55312081995918e-06	5.68965762485242e-06	6.25778772479722e-06	5.52151171102774e-06	3.44649107204951e-06	4.85854767149816e-06	8.05913709970743e-06	5.71297744245139e-06	3.94113054482583e-06	7.14179543844598e-06	2.53118258748874e-06	9.96671791924661e-06	0	0	0	0	0	0	0	0	0	7.26053353667668e-07	0	0	0.000122867948549924	6.07240626826897e-05	0.000197914666780438	0	0	0	1.10977398759134e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.46163971024961e-07	1.87692294365044e-05	0	0	1.0849222924408e-06	2.9722818371139e-06	0	0	0	1.67332090613674e-06	1.03897291293719e-06	0
1301_1300_VLP	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8564887212257e-07	0	0	0	0	0	0	0.000277106274131742	0	7.61835608748027e-06	0.000910486404348968	5.75290161975446e-05	0.00355667089297797	0.00901861994333548	6.09884817080841e-05	6.53401058274678e-05	0.000429174861325373	0.000891670255190878	0.000268289949670793	0.000868691321856653	0.000791180210712868	0.000765361906844522	0.000839367972058732	0.000226116449971735	3.00813270162547e-05	0.000157707417221366	0.000270293262805816	3.73122958317812e-05	4.03718075257255e-05	0	0	5.42501178955076e-05	2.6116854642728e-06	7.4850730370396e-05	0.000109358773045669	7.04110066485593e-07	0.000147642849806566	0.00308584912368793	0	0.000240831117569764	1.45501974349867e-05	4.18698195122022e-05	4.93801555968703e-05	0	2.16984458488161e-06	1.48614091855695e-06	6.20411350973088e-05	0.000341544769390695	2.93695675478026e-05	0.0002459781732021	5.09096727339222e-05	7.40986821549379e-06
1395_1394_VLP	1.06776878775779e-05	1.61654112055481e-05	2.10942076903728e-05	1.23895963073056e-05	7.42836614900456e-06	3.32699603959144e-06	4.75173378886621e-06	1.42241440621311e-05	1.3619890930441e-05	1.57757477457935e-06	3.69266900576733e-06	2.00057845296983e-06	5.51414643664193e-06	1.14259548849028e-06	7.09403498068649e-06	0	0	2.19605649068146e-06	0	0	4.84451528202346e-07	0	0	0	0	0	0	0	0	0	0	0	1.06660598863709e-05	0	0	0	0	3.00813270162547e-05	2.84157508506965e-06	1.07686558886779e-06	1.24374319439271e-06	8.41079323452614e-07	1.3482119162065e-05	2.61927800655482e-05	1.54567375009547e-05	0.00128494924842222	0.00138646583639933	0.000224594302586782	0	0	0.000359319151159298	0	0	0.000895396765229953	0.000809964439529152	0.00041479330701371	0.00931431927467606	0.00108058260327104	9.7490844257336e-05	3.46700460837902e-05	6.11020459001702e-05	5.87391350956053e-06	0.0114220885052894	0.00546291957622373	0.0107986479460463
