sample_id,ext_frac,cage,rep,date,diet,diet2,Age,weight,VLPs/g
X77A_2.18_total,total,77,A,2/18/13,MF,MF1,8,19,1.06E+09
X77B_2.18_total,total,77,B,2/18/13,MF,MF1,8,19,1.39E+09
X77C_2.18_total,total,77,C,2/18/13,MF,MF1,8,17,9.26E+08
X77A_3.12_total,total,77,A,3/12/13,LF,LF*,12,19.7,1.54E+09
X77B_3.12_total,total,77,B,3/12/13,LF,LF*,12,21.6,3.47E+09
X77C_3.12_total,total,77,C,3/12/13,LF,LF*,12,17.8,2.76E+09
X77A_4.2_total,total,77,A,4/2/13,MF,MF2,15,20.7,3.04E+08
X77B_4.2_total,total,77,B,4/2/13,MF,MF2,15,21.6,7.66E+08
X77C_4.2_total,total,77,C,4/2/13,MF,MF2,15,19.3,2.09E+09
X50A_2.12_total,total,50,A,2/12/13,LF,LF1,8,20,6.44E+09
X50B_2.12_total,total,50,B,2/12/13,LF,LF1,8,20,1.03E+10
X50C_2.12_total,total,50,C,2/12/13,LF,LF1,8,18,2.35E+09
X50A_3.6_total,total,50,A,3/6/13,MF,MF*,12,22.1,1.46E+09
X50B_3.6_total,total,50,B,3/6/13,MF,MF*,12,22.7,5.48E+08
X50C_3.6_total,total,50,C,3/6/13,MF,MF*,12,18,5.03E+08
X50A_3.27_total,total,50,A,3/27/13,LF,LF2,15,22.7,4.13E+09
X50B_3.27_total,total,50,B,3/27/13,LF,LF2,15,22.1,7.96E+09
X50C_3.27_total,total,50,C,3/27/13,LF,LF2,15,19.7,1.91E+09
X50A_2.12_VLP,vlp,50,A,2/12/13,LF,LF1,8,20,6.44E+09
X50B_2.12_VLP,vlp,50,B,2/12/13,LF,LF1,8,20,1.03E+10
X50C_2.12_VLP,vlp,50,C,2/12/13,LF,LF1,8,18,2.35E+09
X50A_2.13_VLP,vlp,50,A,2/13/13,LF-MF,LF-MF,8,21,1.60E+09
X50B_2.13_VLP,vlp,50,B,2/13/13,LF-MF,LF-MF,8,21,4.57E+09
X50C_2.13_VLP,vlp,50,C,2/13/13,LF-MF,LF-MF,8,18,1.06E+09
X50A_3.6_VLP,vlp,50,A,3/6/13,MF,MF*,12,22.1,1.46E+09
X50B_3.6_VLP,vlp,50,B,3/6/13,MF,MF*,12,22.7,5.48E+08
X50C_3.6_VLP,vlp,50,C,3/6/13,MF,MF*,12,18,5.03E+08
X50A_3.27_VLP,vlp,50,A,3/27/13,LF,LF2,15,22.7,4.13E+09
X50B_3.27_VLP,vlp,50,B,3/27/13,LF,LF2,15,22.1,7.96E+09
X50C_3.27_VLP,vlp,50,C,3/27/13,LF,LF2,15,19.7,1.91E+09
X77A_2.18_VLP,vlp,77,A,2/18/13,MF,MF1,8,19,1.06E+09
X77B_2.18_VLP,vlp,77,B,2/18/13,MF,MF1,8,19,1.39E+09
X77C_2.18_VLP,vlp,77,C,2/18/13,MF,MF1,8,17,9.26E+08
X77A_2.19_VLP,vlp,77,A,2/19/13,MF-LF,MF-LF,8,19,1.04E+09
X77B_2.19_VLP,vlp,77,B,2/19/13,MF-LF,MF-LF,8,19,2.99E+09
X77C_2.19_VLP,vlp,77,C,2/19/13,MF-LF,MF-LF,8,17,1.22E+09
X77A_3.12_VLP,vlp,77,A,3/12/13,LF,LF*,12,19.7,1.35E+09
X77B_3.12_VLP,vlp,77,B,3/12/13,LF,LF*,12,21.6,1.63E+09
X77C_3.12_VLP,vlp,77,C,3/12/13,LF,LF*,12,17.8,1.32E+09
