Contig	Closest match function	Closest match taxonomy			
11495_11494_IND	r1t-like_streptococcal_phages	Bacteria	Firmicutes	Clostridia	Desulfitobacterium hafniense Y51
11577_11576_IND	Phage_capsid_proteins	"dsDNA viruses, no RNA stage"	Caudovirales	Siphoviridae	Staphylococcus phage EW
8233_8232_IND	r1t-like_streptococcal_phages	"dsDNA viruses, no RNA stage"	Caudovirales	Siphoviridae	Staphylococcus phage phiMR25
11573_11572_IND	r1t-like_streptococcal_phages	Bacteria	Firmicutes	Bacilli	Lactobacillus johnsonii NCC 533
189_188_IND	Phage_tail_proteins_2	Bacteria	Firmicutes	Clostridia	Thermoanaerobacter sp. X561
1568425_102182_IND	Phage_entry_and_exit	Bacteria	Firmicutes	Bacilli	Streptococcus pyogenes MGAS10750
1168485_95035_IND	r1t-like_streptococcal_phages	Bacteria	Firmicutes	Clostridia	Desulfitobacterium hafniense Y51
1541036_99683_IND	Phage_tail_proteins_2	Bacteria	Firmicutes	Bacilli	Streptococcus equi
11392_11391_IND	Phage_integration_and_excision	"dsDNA viruses, no RNA stage"	Caudovirales	Siphoviridae	Streptococcus phage 5093
11500_11499_IND	Phage_integration_and_excision	"dsDNA viruses, no RNA stage"	Caudovirales	Siphoviridae	Streptococcus phage 5093
1546282_100483_IND	Phage_integration_and_excision	Bacteria	Firmicutes	Bacilli	Lactobacillus reuteri
2052_2051_IND	Prophage_lysogenic_conversion_modules	Bacteria	Firmicutes	Bacilli	Lactobacillus johnsonii NCC 533
11895_11894_IND	"Conjugative_transposon,_Bacteroidales"	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroides fragilis NCTC 9343
1545310_100359_IND	Phage_packaging_machinery	Bacteria	Firmicutes	Bacilli	Lactobacillus brevis ATCC 367
6233_6232_IND	Phage_replication	Bacteria	Firmicutes	Bacilli	Pediococcus pentosaceus ATCC 25745
345_344_IND	Phage_integration_and_excision	Bacteria	Firmicutes	Bacilli	Bacillus cereus ATCC 14579
485381_86166_IND	r1t-like_streptococcal_phages	"dsDNA viruses, no RNA stage"	Caudovirales	Siphoviridae	Lactococcus phage ul36
8182_8181_IND	Phage_packaging_machinery	"dsDNA viruses, no RNA stage"	Caudovirales	Myoviridae	Lactobacillus phage KC5a
9169_9168_IND	Staphylococcal_phi-Mu50B-like_prophages	Bacteria	Firmicutes	Bacilli	Pediococcus pentosaceus ATCC 25745
9619_9618_IND	Phage_packaging_machinery	unclassified phages			Lactobacillus johnsonii prophage Lj771
47_46_IND	Phage_tail_proteins_2	"dsDNA viruses, no RNA stage"	Caudovirales	Siphoviridae	Streptococcus phage SM1
1460_1459_VLP	Phage_capsid_proteins	"dsDNA viruses, no RNA stage"	Caudovirales	Siphoviridae	Lactobacillus prophage Lj928
279518_15392_VLP	r1t-like_streptococcal_phages	"dsDNA viruses, no RNA stage"	Caudovirales	Siphoviridae	Lactobacillus prophage Lj928
1301_1300_VLP	Phage_packaging_machinery	Bacteria	Proteobacteria	delta/epsilon subdivisions	Campylobacter concisus 13826
282627_15745_VLP	Phage_packaging_machinery	"dsDNA viruses, no RNA stage"	Caudovirales	Myoviridae	Clostridium phage phiC2
3398_3397_VLP	Phage_integration_and_excision	NA	NA	NA	NA
81561_11054_VLP	Phage_packaging_machinery	NA	NA	NA	NA
278888_15308_VLP	Phage_capsid_proteins	"dsDNA viruses, no RNA stage"	Caudovirales	Siphoviridae	Staphylococcus phage EW
3314_3313_VLP	r1t-like_streptococcal_phages	Bacteria	Actinobacteria	Actinobacteria	Kocuria rhizophila DC2201
268318_14671_VLP	r1t-like_streptococcal_phages	Bacteria	Firmicutes	Bacilli	Listeria monocytogenes FSL N1-017
11070_5415_VLP	Phage_integration_and_excision	Bacteria	Firmicutes	Bacilli	Lactobacillus reuteri
1395_1394_VLP	r1t-like_streptococcal_phages	"dsDNA viruses, no RNA stage"	Caudovirales	Siphoviridae	Listeria phage B054
2281_2280_VLP	r1t-like_streptococcal_phages	Bacteria	Firmicutes	Bacilli	Lactobacillus casei ATCC 334
